Title,Class
"Das Management der Kunden, Studien zur Soziologie des Shopping",306
"Das Erinnerungs-Guerilla-Kit, Street Art zum Mitmachen",750
Einblick in die traditionelle islamische Medizin,610
"Et in imagine ego, Facetten von Bildakt und Verkörperung",740
"Studien zu William Faulkners früher Prosa, Ästhetizismus und Moderne",813
"Das Ende der Zünfte, ein europäischer Vergleich",330
"Kleine Spiele im Sportunterricht, Spaß, Spannung & Erfolgserlebnisse",370
Bildung - Intersektionalität - Geschlecht,370
"Bertolt Brecht und der sozialistische Realismus, Die erste Kunst ist die Beobachtungskunst",832
Grenzüberschreitende Zusammenarbeit zwischen den Regionen in Europa,327
Die Entwicklung der FDP von ihren Anfängen bis 1961,324
Beispiele und Lösungen zu Peter Swoboda's Kostenrechnung und Preispolitik,658
"Der Westen und die Sowjetunion, Einstellungen und Politik gegenüber der UdSSR in Europa und in den USA seit 1917",327
"Der Anaesthesist Weiterbildung für Anästhesisten 1998, Ihre Basis für die Facharztprüfung",617
"Professionelles Sales & Service Management, Vorsprung durch konsequente Kundenorientierung",658
Kritik der Grundlagen des Zeitalters,142
"Projekte und Konzepte aus der Unterrichtspraxis mit problematischen Kindern und Jugendlichen, Sprünge über Klippen",370
"Die Zukunft der Nationen in Europa, ist das Zeitalter der Nationen und Nationalstaaten in Europa vorüber?",340
"Wissensrepräsentation mit MultiNet, Wissensverarbeitung und die Semantik der natürlichen Sprache",400
"50 Fälle mit Lösungen, Arbeitsrecht",340
"Formen arthurischen Erzählens, Vom Mittelalter bis in die Gegenwart",809
"Gottesdienste und Rituale im gesellschaftlichen Kontext, Öffentliche Liturgien",230
"KLIK - Konflikte lösen im Kindergarten, ein praxiserprobtes Trainingsprogramm zur Konfliktbewältigung für Kinder von 5 - 7 Jahren",150
"Warum Europa eine Republik werden muss, eine politische Utopie",320
"Interkulturelles Lernen aus ethnologischer Perspektive, Konzepte, Ansichten und Praxisbeispiele aus Österreich und den Niederlanden",370
"Visual Storytelling, visuelles Erzählen in PR und Marketing",650
"Literaturgeschichtsschreibung in Italien und Deutschland, Traditionen und aktuelle Probleme",801
"Brüder Grimm, Arnim und Brentano, Droste-Hülshoff ; literarhistorische Studien, Nebeninschriften",830
"Die Massenmedien im Wahlkampf, Untersuchungen aus dem Wahljahr 1990",300
"Der Aufbau Der Atomkerne, Natürliche und Künstliche Kernumwandlungen",530
"Klausurenkurs im Familien- und Erbrecht, ein Fall- und Repetitionsbuch für Examenskandidaten",340
