Title,Class
Bankruptcy Prediction through Soft Computing based Deep Learning Technique,40
The complete paintings of Dürer,75
"American Indian literatures, an introduction, bibliographic review, and selected bibliography",89
"Measures to combat piracy in the field of copyright and neighbouring rights, Recommendation no. R (88) 2 ; adopted by the Committee of Ministers of the Council of Europe on 18 January 1988 and explanatory memorandum",34
Perturbations of Positive Semigroups with Applications,51
"Nonlinear partial differential equations, [the proceedings of the Summer Research Conference were prepared by the American Mathematical Society with partical support from the national Dcience Foundation Grant, June 20-28, 1982]",51
"Sherwood Anderson, early writings",81
"Intellectual and personality characteristics of children, social-class and ethnic-group differences",15
"A Use Case Driven Analysis, Targeted Advertising Technologies in the ICT Space",65
"A geography of population, world patterns",30
"The idea of perfect history, historical erudition and historical philosophy in Renaissance France",94
"Nutrition in the lower metazoa, proceedings ...",59
"The romance of failure, first-person fictions of Poe, Hawthorne and James",81
Sketches of thought,15
"Personal construct theory, concepts and applications",15
"Recent approaches to economic dynamics, conference volume (Bielefeld: 7 - 9th October, 1987)",33
"Commutative algebra and combinatorics, Research papers based on lectures of a Seminar held under the US-Japan Cooperative Science Program and of a three-day Conference (held in Kyoto immediately after the Seminar)",51
"Persistence and Extinction, Stochastic Population and Epidemic Models",51
Cognitive models of memory,15
"More Class in Management Research, The Relationship between Socioeconomic Background and Managerial Attitudes",65
"Global development finance 2009, charting a global recovery",33
The economics of wage controls,33
A concordance to the poems of Hart Crane,81
Commerce and Strangers in Adam Smith,33
Contemporary Japan,95
"Child-to-child, another path to learning",61
"Joseph Conrad and the literature of personality, Language and being",82
The practicing scientist's handbook,53
"Lessons of a Biotechnology Company, The Management of Technological Learning",66
"The feminine eye, science fiction and the women who write it",81
Power and protest in England 1525 - 1640,30
"Western wind, an introduction to poetry",80
Perspectives on the coordination of movement,61
Statistical analysis of fMRI data,61
"Papers from the International Symposium on Applied Contrastive Linguistics, Stuttgart, October 11 - 13, 1971",41
"Codetermination, a discussion of different approaches",65
"The poetry of Africa, an introduction for students",82
"Global Value Chains, Flexibility and Sustainability",65
"Share this too, more social media solutions for PR professionals",65
"The analysis of action, recent theoretical and empirical advances",30
"Security analysis, principles and technique",33
"Government and binding theory and the minimalist program, principles and parameters in syntactic theory",41
"Schools and society, a sociological approach to education",30
"CIO best practices, enabling strategic value with information technology. - 1st series from jacket",65
"Little soldiers, how Soviet children went to war, 1941 - 1945",94
"The Scottish Enlightenment, 1730 - 1790, a hotbed of genius",94
"A Portable History of the Language, Inventing English",42
"The Cambridge companion to English literature, 1650 - 1740",82
"Handbook of medieval culture, Volume 1, fundamental aspects and conditions of the European Middle Ages",92
Chicano speech in the bilingual classroom,42
Health and the social environment,61
"Understanding Vygotsky, a quest for synthesis",15
"Microwave circuits, analysis and computer-aided design",62
"A study of the impact of social benefits and income tax on incentives to work, The moral hazard of social benefits",30
"Supramolecular chemistry, concepts and perspectives",54
"Semiochemistry, flavors and pheromones",57
"Working Together in Vanuatu : Research Histories, Collaborations, Projects and Reflections",30
The Cambridge companion to Shakespeare's history plays,82
Statistical Theories of Turbulence,62
"Joyce Cary, a reappraisal",82
Handbook on the physics and chemistry of rare earths,54
Reliable knowledge,50
"(Sixth International Conference, Brookhaven), [Upton, New York, on April 25 - 26, 1980], Experimental meson spectroscopy",53
Introduction to Fourier optics,62
"Modernism and Caribbean Literature, Writing in Limbo",82
